Date,Shift,Factory,Machine No,Issues,Root Cause,Correction ,Corrective Action,,,
10/11/2023,DB,Onga 1,IMA 14,Bad wrap/ cube crashing,Knife fault/ Blend,The operator/engineer worked on the machine,The operator/engineer worked on the machine,Tony,,
10/11/2023,DB,Onga 2,IMA 32,Bad wrap,Pusher fault/ Persistent jamming,The operator/engineer worked on the machine,The operator/engineer worked on the machine,Tony,,
10/11/2023,DB,Onga 2,IMA 35,Bad wrap,Worn out teflon,The operator/engineer worked on the machine,The operator/engineer worked on the machine,Tony,,
10/11/2023,DB,Onga 2,IMA 38,Bad wrap,Dirty punches,The operator/engineer worked on the machine,The operator/engineer worked on the machine,Tony,,
10/11/2023,NB,Onga 2,IMA 35,Bad wrap,Knife fault,The operator/engineer worked on the machine,The operator/engineer worked on the machine,Uwem,,
10/11/2023,NB,Onga 2,IMA 29,Bad wrap,Knife fault,The operator/engineer worked on the machine,The operator/engineer worked on the machine,Uwem,,
10/11/2023,NB,Onga 2,IMA 32,Bad wrap,Knife fault,The operator/engineer worked on the machine,The operator/engineer worked on the machine,Uwem,,
10/11/2023,NB,Onga 2,IMA 31,Bad wrap,Slitting unit,The operator/engineer worked on the machine,The operator/engineer worked on the machine,Uwem,,
10/11/2023,NB,Onga 1,IMA 2,Bad wrap,"Reel misalignment, elevator fault",The operator/engineer worked on the machine,The operator/engineer worked on the machine,Uwem,,
10/11/2023,NB,Onga 1,IMA 12,Bad wrap,Knife fault,The operator/engineer worked on the machine,The operator/engineer worked on the machine,Uwem,,
10/11/2023,NB,Onga 1,IMA 15,Bad wrap,"Pull back,reel misalgnment",The operator/engineer worked on the machine,The operator/engineer worked on the machine,Uwem,,
10/11/2023,NB,Onga 1,IMA 18,Broken cubes,PRESS 16,The operator/engineer worked on the machine,The operator/engineer worked on the machine,Uwem,,
10/11/2023,NB,Onga 1,IMA 5,Bad wrap,Elevator fault,The operator/engineer worked on the machine,The operator/engineer worked on the machine,Uwem,,
10/11/2023,NB,Onga 4,IMA 63,Bad wrap,Stirrer chain fault,The operator/engineer worked on the machine,The operator/engineer worked on the machine,Uwem,,
10/11/2023,NB,Onga 4,IMA 65,Bad wrap,Paper jamming/Line 1 portion,The operator/engineer worked on the machine,The operator/engineer worked on the machine,Uwem,,
10/11/2023,NB,Onga 4,IMA 81,Bad wrap,Stirrer Chain,The operator/engineer worked on the machine,The operator/engineer worked on the machine,Uwem,,
11/10/2023,NB,Onga 3,Press 50,Bad wrap,Sensor issue,The operator/engineer are working on the machine,The operator/engineer are working on the machine,Uwem,,
12/10/2023,DB,Onga 2,IMA 32,Bad wrap,Elevator fault,The operator/engineer worked on the machine,The operator/engineer worked on the machine,Tony,,
12/10/2023,DB,Onga 2,IMA 28,Bad wrap,Knife fault,The operator/engineer worked on the machine,The operator/engineer worked on the machine,Tony,,
12/10/2023,DB,Onga 2,IMA 29,Bad wrap,Knife fault,The operator/engineer worked on the machine,The operator/engineer worked on the machine,Tony,,
12/10/2023,DB,Onga 2,IMA 34,Bad wrap,Knife fault,The operator/engineer worked on the machine,The operator/engineer worked on the machine,Tony,,
12/10/2023,DB,Onga 1,IMA 2,Bad wrap,Knife fault,The operator/engineer worked on the machine,The operator/engineer worked on the machine,Tony,,
12/10/2023,DB,Onga 1,IMA 12,Bad wrap,Lower folder,The operator/engineer worked on the machine,The operator/engineer worked on the machine,Tony,,
12/10/2023,DB,Onga 1,IMA 15,Bad wrap,Lower folder,The operator/engineer worked on the machine,The operator/engineer worked on the machine,Tony,,
12/10/2023,DB,Onga 1,IMA 3,Bad wrap,Lower folder,The operator/engineer worked on the machine,The operator/engineer worked on the machine,Tony,,
12/10/2023,NB,Onga 2,IMA 31,Bad wrap,Knife fault,The operator/engineer worked on the machine,The operator/engineer worked on the machine,Uwem,,
12/10/2023,NB,Onga 2,IMA 28,Bad wrap,Elevator fault,The operator/engineer worked on the machine,The operator/engineer worked on the machine,Uwem,,
12/10/2023,NB,Onga 2,IMA 38,Bad wrap,Knife fault/elevator fault,The operator/engineer worked on the machine,The operator/engineer worked on the machine,Uwem,,
12/10/2023,NB,Onga 2,IMA 29,Bad wrap,Knife fault,The operator/engineer worked on the machine,The operator/engineer worked on the machine,Uwem,,
12/10/2023,NB,Onga 1,IMA 5,Bad wrap,Faulty folder sealer,The operator/engineer worked on the machine,The operator/engineer worked on the machine,Uwem,,
12/10/2023,NB,Onga 1,IMA 8,Bad wrap,Reel misalignment,The operator/engineer worked on the machine,The operator/engineer worked on the machine,Uwem,,
12/10/2023,NB,Onga 1,IMA 12,Bad wrap,Reel pullback,The operator/engineer worked on the machine,The operator/engineer worked on the machine,Uwem,,
12/10/2023,NB,Onga 1,IMA 18,Bad wrap,"Faulty lower folder, faulty servo",The operator/engineer worked on the machine,The operator/engineer worked on the machine,Uwem,,
12/10/2023,NB,Onga 3,IMA 49,Bad wrap,Cube bridge fault,The operator/engineer worked on the machine,The operator/engineer worked on the machine,Uwem,,
12/10/2023,NB,Onga 3,IMA 49,Bad wrap,Lower folder,The operator worked on the machine,The operator worked on the machine,Uwem,,
12/10/2023,NB,Onga 4,IMA 49,Bad wrap,Line 2 portion,The operator worked on the machine,The operator worked on the machine,Uwem,,
12/10/2023,NB,Onga 4,ILAPAK 73,Intermittent stoppage,Electrical fault,The operator/engineer worked on the machine,The operator/engineer worked on the machine,Uwem,,
13/10/2023,DB,Onga 2,IMA 29,Bad wrap,Knife fault,The operator/engineer worked on the machine,The operator/engineer worked on the machine,Tony,,
13/10/2023,DB,Onga 2,IMA 32,Bad wrap,Knife fault,The operator/engineer worked on the machine,The operator/engineer worked on the machine,Tony,,
13/10/2023,DB,Onga 2,IMA 35,Bad wrap,Knife fault,The operator/engineer worked on the machine,The operator/engineer worked on the machine,Tony,,
13/10/2023,DB,Onga 2,ILAPAK 25,Poor vertical pouch sealing ,Poor quality of reel supplied (crownpack),The operator/engineer worked on the machine,The operator/engineer worked on the machine,Tony,,
13/10/2023,DB,Onga 2,ILAPAK 26,Poor vertical pouch sealing ,Poor quality of reel supplied (crownpack),The operator/engineer worked on the machine,The operator/engineer worked on the machine,Tony,,
13/10/2023,DB,Onga 4,IMA 65,Bad wrap,"Paper jam, worn out luncher rubber",The operator/engineer worked on the machine,The operator/engineer worked on the machine,Tony,,
13/10/2023,DB,Onga 1,IMA 3,Bad wrap,Reel misalignment,The operator/engineer worked on the machine,The operator/engineer worked on the machine,Tony,,
13/10/2023,DB,Onga 1,IMA 17,Bad wrap,Welder fault,The operator/engineer worked on the machine,The operator/engineer worked on the machine,Tony,,
13/10/2023,DB,Onga 1,IMA 15,Bad wrap/ Lateral seal,Welder fault,The operator/engineer worked on the machine,The operator/engineer worked on the machine,Tony,,
13/10/2023,DB,Onga 1,IMA 14,Bad wrap/ Lateral seal,Welder fault,The operator/engineer worked on the machine,The operator/engineer worked on the machine,Tony,,
13/10/2023,DB,Onga 1,IMA 12,Bad wrap/ Lateral seal,Welder switched off,The operator/engineer worked on the machine,The operator/engineer worked on the machine,Tony,,
13/10/2023,NB,Onga 4,IMA 32,Bad wrap,Knife fault,The operator/engineer worked on the machine,The operator/engineer worked on the machine,Uwem,,
13/10/2023,NB,Onga 4,IMA 38,Bad wrap,Faulty elevator,The operator/engineer worked on the machine,The operator/engineer worked on the machine,Uwem,,
13/10/2023,NB,Onga 4,IMA 34,Bad wrap,Knife fault,The operator/engineer worked on the machine,The operator/engineer worked on the machine,Uwem,,
13/10/2023,NB,Onga 4,ILAPAK 26,Poor vertical pouch sealing ,Poor quality of reel supplied (crownpack),The operator/engineer worked on the machine,The operator/engineer worked on the machine,Uwem,,
13/10/2023,NB,Onga 3,IMA 43,Bad wrap,Faulty counter pusher,The operator/engineer worked on the machine,The operator/engineer worked on the machine,Uwem,,
13/10/2023,NB,Onga 1,IMA 12,Bad wrap,"Faulty elevator,side welder",The operator/engineer worked on the machine,The operator/engineer worked on the machine,Uwem,,
13/10/2023,NB,Onga 1,IMA 14,Bad wrap,Welder fault,The operator/engineer worked on the machine,The operator/engineer worked on the machine,Uwem,,
13/10/2023,NB,Onga 1,IMA 15,Bad wrap,Faulty folden block,The operator/engineer worked on the machine,The operator/engineer worked on the machine,Uwem,,
13/10/2023,NB,Onga 1,ILAPAK 22,Poor vertical and horizontal pouch sealing ,Poor quality of reel supplied (crownpack),The operator/engineer worked on the machine,The operator/engineer worked on the machine,Uwem,,
13/10/2023,NB,Onga 4,IMA 67,Bad wrap,Paper jamming/Line 2 portion,The operator/engineer worked on the machine,The operator/engineer worked on the machine,Uwem,,
13/10/2023,NB,Onga 4,IMA 69,Bad wrap,"Jaw servo fault, timing belt fault",The operator/engineer worked on the machine,The operator/engineer worked on the machine,Uwem,,
13/10/2023,NB,Onga 4,IMA 81,Bad wrap,"Line 1 portion, Upper welder",The operator/engineer worked on the machine,The operator/engineer worked on the machine,Uwem,,
13/10/2023,NB,Onga 4,IMA 83,Bad wrap,Kinfe misalignment,The operator/engineer worked on the machine,The operator/engineer worked on the machine,Uwem,,
14/10/2023,DA,Onga 1,IMA 12,Bad wraps ,Faulty lateral welder,The operator/engineer worked on the machine,The operator/engineer worked on the machine,Prosper,,
14/10/2023,DA,Onga 1,IMA 12,Bad wraps ,Faulty Lower pusher,The operator/engineer worked on the machine,The operator/engineer worked on the machine,Prosper,,
14/10/2023,DA,Onga 1,IMA 02,Bad wraps ,Faulty folding block,The operator/engineer worked on the machine,The operator/engineer worked on the machine,Prosper,,
14/10/2023,DA,Onga 1,IMA 03,Bad wraps ,Faulty lower folder,The operator/engineer worked on the machine,The operator/engineer worked on the machine,Prosper,,
14/10/2023,DA,Onga 1,IMA 14,Bad wraps ,Faulty lateral welder,The operator/engineer worked on the machine,The operator/engineer worked on the machine,Prosper,,
14/10/2023,DA,Onga 1,ILAPAK 22,Bad wraps ,Faulty sealing jaw,The operator worked on the machine,The operator worked on the machine,Prosper,,
14/10/2023,DA,Onga 2,IMA 34,Bad wrap,Servo jam,The operator worked on the machine,The operator worked on the machine,Prosper,,
14/10/2023,DA,Onga 2,IMA 29,Bad wrap,Faulty Knife,The operator worked on the machine,The operator worked on the machine,Prosper,,
14/10/2023,DA,Onga 2,ILA 25,Poor vertical sealing,Faulty sealing jaw,The operator worked on the machine,The operator worked on the machine,Prosper,,
14/10/2023,DA,Onga 2,IMA 32,Bad wrap,Faulty Knife,The operator worked on the machine,The operator worked on the machine,Prosper,,
14/10/2023,DA,Onga 4,IMA 83,Bad wrap,Faulty Knife,The operator worked on the machine,The operator worked on the machine,Prosper,,
14/10/2023,DA,Onga 3,IMA 43,Bad wrap,Faulty pusher,Engineers are working on it,Engineers are working on it,Prosper,,
14/10/2023,NA,Onga 1,IMA 3 ,Reel pull Back ,Knife Fault,The operator worked on the machine,The operator worked on the machine,Jude,,
14/10/2023,NA,Onga 1,IMA 12,Bad Wrap,Blunt Blade,The operator worked on the machine,The operator worked on the machine,Jude,,
14/10/2023,NA,Onga 1,IMA 14,Bad Wrap,Exit Crash,The operator worked on the machine,The operator worked on the machine,Jude,,
14/10/2023,NA,Onga 1,IMA 18,Reel pull back,Cube Crash,The operator worked on the machine,The operator worked on the machine,Jude,,
14/10/2023,NA,Onga 1,ILA 22,Poor vertical and Horizontal seal,Bad Reel,The operator worked on the machine,The operator worked on the machine,Jude,,
14/10/2023,NA,Onga1,ILA 22,No Code,Faulty Ribbon/encoding,The operator worked on the machine,The operator worked on the machine,Jude,,
14/10/2023,NA,Onga 3,IMA 47,Bad Wrap,"Wheel fault, Reserve alarm",The operator worked on the machine,The operator worked on the machine,Jude,,
14/10/2023,NA,Onga 3,IMA 49,Bad Wrap,Folding block fault,The operator worked on the machine,The operator worked on the machine,Jude,,
14/10/2023,NA,Onga 3,IMA 51,Bad Wrap,"Reel guard misalignment, line 1 portion",The operator worked on the machine,The operator worked on the machine,Jude,,
14/10/2023,NA,Onga 4,IMA 65,Bad Wrap,Motor wheel fault,The operator worked on the machine,The operator worked on the machine,Jude,,
14/10/2023,NA,Onga 4,IMA 69,Bad Wrap,Paper jam,The operator worked on the machine,The operator worked on the machine,Jude,,
14/10/2023,NA,Onga 4,ILAPAK 72,Pouch leakage/no code,"Low sealing jaw temperature, ribbon issue.",The operator worked on the machine,The operator worked on the machine,Jude,,
14/10/2023,NA,Onga 4,IMA 81,Bad Wrap,"Tooth fault, outfeed belt fault",The operator worked on the machine,The operator worked on the machine,Jude,,
14/10/2023,NA,Onga 2,IMA 29,Bad wrap,Knife fault,The operator/engineer worked on the machine,The operator/engineer worked on the machine,Jude,,
14/10/2023,NA,Onga 2,IMA 28,Cube crash,Lower pusher,The operator/engineer worked on the machine,The operator/engineer worked on the machine,Jude,,
14/10/2023,NA,Onga 2,IMA 31,Bad wrap,Lower folder,The operator/engineer worked on the machine,The operator/engineer worked on the machine,Jude,,
14/10/2023,NA,Onga 2,IMA 32,Reel pull back,Knife fault,The operator/engineer worked on the machine,The operator/engineer worked on the machine,Jude,,
15/10/2023,DA,Onga 4,IMA 81,Bad wrap,Lower folder,The operator/engineer worked on the machine,The operator/engineer worked on the machine,Prosper,,
15/10/2023,DA,Onga 4,IMA 67,Bad wrap,Knife fault,The operator/engineer worked on the machine,The operator/engineer worked on the machine,Prosper,,
15/10/2023,DA,Onga 2,IMA 32,Bad wrap,Faulty star wheel motor,The operator worked on the machine,The operator worked on the machine,Prosper,,
15/10/2023,DA,Onga 2,IMA 29,Bad wrap,Faulty Knife,The operator worked on the machine,The operator worked on the machine,Prosper,,
15/10/2023,DA,Onga 2,ILA 25,Poor vertical sealing,Faulty sealing jaw,The operator worked on the machine,The operator worked on the machine,Prosper,,
15/10/2023,DA,Onga 2,IMA 32,Bad wrap,Broken counter elevator,The operator worked on the machine,The operator worked on the machine,Prosper,,
15/10/2023,DA,Onga 2,IMA 32,Bad wrap,Faulty upper pusher,The operator worked on the machine,The operator worked on the machine,Prosper,,
15/10/2023,DA,Onga 1,IMA 03,Bad wraps ,Reel misaligment,The operator worked on the machine,The operator worked on the machine,Prosper,,
15/10/2023,DA,Onga 1,IMA 08,Bad wraps ,Lower pusher,The operator worked on the machine,The operator worked on the machine,Prosper,,
15/10/2023,DA,Onga 1,IMA 12,Bad wraps ,Faulty Knife,The operator/engineer worked on the machine,The operator/engineer worked on the machine,Prosper,,
15/10/2023,DA,Onga 3,IMA 49,Bad wraps ,Engineers are troubleshooting,The engineers are working on the machine,The engineers are working on the machine,Prosper,,
15/10/2023,DA,Onga 4,IMA 81,Bad wraps ,Engineers are troubleshooting,The engineers are working on the machine,The engineers are working on the machine,Prosper,,
15/10/2023,NA,Onga 4,IMA 81,Bad wraps ,Exit unit,The engineers are working on the machine,The engineers are working on the machine,Jude,,
15/10/2023,NA,Onga 4,IMA 69,"Mechanical fault, Bad wraps",Cabinet door microswitch fault,The engineers are working on the machine,The engineers are working on the machine,Jude,,
